SubmitterAbbr,Lookup,LocalID,VariationID,ClinicalSignificance,DateLastEvaluated,Description,SubmittedPhenotypeInfo,ReportedPhenotypeInfo,ReviewStatus,CollectionMethod,OriginCounts,Submitter,SCV,SubmittedGeneSymbol,ExplanationOfInterpretation
CARDIO,CARDIO14087,,14087,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS3;PS4;PP1_ Strong;PM1;PM2;PM5;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564413.2,MYH7,-
CARDIO,CARDIO14089,,14089,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS2;PS3;PS4;PP1_ Strong;PM1;PM2;PP3",MedGen:C0340429;MedGen:C0949658,C0340429:Familial restrictive cardiomyopathy;C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564414.2,MYH7,-
CARDIO,CARDIO14090,,14090,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PM1;PM2;PP1_Moderate;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564418.2,MYH7,-
CARDIO,CARDIO14095,,14095,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PP1_ Strong;PM1;PM2;PM5;PM6;PP3;BP2",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564425.2,MYH7,-
CARDIO,CARDIO14097,,14097,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PP1_ Strong;PM1;PM2;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564438.2,MYH7,-
CARDIO,CARDIO14098,,14098,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PM1;PM2;PM5;PM6;PP1;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564427.2,MYH7,-
CARDIO,CARDIO14102,,14102,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PP1_ Strong;PM1;PM2;PM5;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564412.2,MYH7,-
CARDIO,CARDIO14104,,14104,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS2;PS3;PS4;PP1_ Strong;PM1;PM2;PM5;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564421.2,MYH7,-
CARDIO,CARDIO14105,,14105,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PP1_ Strong;PM1;PM2;PM6;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564420.2,MYH7,-
CARDIO,CARDIO14107,,14107,Pathogenic,42719,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel, Kelly et al. manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (MYH7)"" document (assertion method column). The following criteria were met:PS4;PP1_ Strong;PM1;PM2;PM5;PP3",MedGen:C0949658,C0949658:Primary familial hypertrophic cardiomyopathy,reviewed by expert panel,curation,germline:na,"ClinGen Inherited Cardiomyopathy Expert Panel,",SCV000564422.2,MYH7,-
