SubmitterAbbr,Lookup,LocalID,VariationID,ClinicalSignificance,DateLastEvaluated,Description,SubmittedPhenotypeInfo,ReportedPhenotypeInfo,ReviewStatus,CollectionMethod,OriginCounts,Submitter,SCV,SubmittedGeneSymbol,ExplanationOfInterpretation
RAS,RAS6821,,6821,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS2, PS3, PM2, PM6_Strong, PP2, PS$",MedGen:C1843181,C1843181:Noonan syndrome-like disorder with loose anagen hair 1,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616382.1,SHOC2,-
RAS,RAS8272,,8272,Pathogenic,42864,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PM1, PM2, PM6, PS3",MedGen:C1275081,C1275081:Cardio-facio-cutaneous syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616538.1,MAP2K2,-
RAS,RAS8273,,8273,Pathogenic,42864,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PM1, PM2, PS2_Very Strong",MedGen:C1275081,C1275081:Cardio-facio-cutaneous syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616539.1,MAP2K2,-
RAS,RAS8274,,8274,Likely pathogenic,42864,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PM1, PM2, PS4_Supporting. Additional case-level data provided by: SCV000063166; SCV000207957; Zenker et al.",MedGen:CN166718,CN166718:Rasopathy,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616545.1,MAP2K2,-
RAS,RAS8275,,8275,Pathogenic,42864,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PM1, PM2, PP1_Strong, PS3",MedGen:C1275081,C1275081:Cardio-facio-cutaneous syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616540.1,MAP2K2,-
RAS,RAS12586,,12586,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS3, PM6_Strong, PM2, PM1, PP3; PP2",MedGen:C1275081,C1275081:Cardio-facio-cutaneous syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616370.1,KRAS,-
RAS,RAS12587,,12587,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS3; PM6_Strong; PP1_Moderate",MedGen:C0028326,C0028326:Noonan syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616371.1,KRAS,-
RAS,RAS12588,,12588,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS3; PM6_Strong; PM2; PP2, PP3, PM1",MedGen:C0028326,C0028326:Noonan syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616369.1,KRAS,-
RAS,RAS12589,,12589,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS2; PM6_Strong; PS3; PS4_Moderate; PP2; PP3, PM1",MedGen:C0028326,C0028326:Noonan syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616367.1,KRAS,-
RAS,RAS12594,,12594,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PS4_Moderate, PM2, PM6_Strong. Additional case-level data provided by: SCV000202928; GeneDx internal data; Zenker et al.",MedGen:C0028326,C0028326:Noonan syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616404.1,KRAS,-
RAS,RAS12602,,12602,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS2; PS3; PM6_Strong; PS4; PM1; PM2; PP2; PP3",MedGen:C0587248,C0587248:Costello syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616364.1,HRAS,-
RAS,RAS12605,,12605,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PM6_Strong, PS3, PM1, PM2, PP3",MedGen:C0587248,C0587248:Costello syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616366.1,HRAS,-
RAS,RAS12606,,12606,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PS2; PM6_Strong; PS4_Moderate; PM1; PM2; PP2; PP3",MedGen:C0587248,C0587248:Costello syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616363.1,HRAS,-
RAS,RAS12610,,12610,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PM2; PM1; PM6; PP2; PP3; PS4_Supporting, PS1",MedGen:C0587248,C0587248:Costello syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616365.1,HRAS,-
RAS,RAS12871,,12871,Pathogenic,42828,"This variant was classified using modified ACMG criteria (ClinGen Expert Panel; manuscript in preparation). Please see a summary of the rules and criteria codes in the ""ACMG variant classification (RASopathy)"" document (assertion method column). The following criteria were met: PP2, PP3, PM1, PM2, PM6_Strong, PS2",MedGen:C0028326,C0028326:Noonan syndrome,reviewed by expert panel,curation,germline:na,"ClinGen RASopathy Expert Panel,",SCV000616386.1,SOS1,-
